iter	Passed	Remaining
735	9144	3280
736	9155	3267
737	9167	3254
738	9182	3242
739	9198	3231
740	9212	3219
741	9227	3208
742	9239	3196
743	9250	3182
744	9264	3170
745	9278	3159
746	9292	3147
747	9303	3134
748	9313	3121
749	9327	3109
750	9341	3097
751	9351	3084
752	9361	3070
753	9375	3058
754	9386	3046
755	9396	3032
756	9408	3020
757	9421	3007
758	9429	2994
759	9444	2982
760	9462	2971
761	9477	2960
762	9492	2948
763	9508	2937
764	9524	2925
765	9543	2915
766	9556	2902
767	9568	2890
768	9578	2877
769	9591	2864
770	9607	2853
771	9619	2841
772	9628	2827
773	9641	2815
774	9655	2803
775	9668	2791
776	9677	2777
777	9689	2764
778	9702	2752
779	9714	2740
780	9725	2727
781	9739	2715
782	9750	2702
783	9759	2688
784	9770	2675
785	9781	2663
786	9789	2649
787	9800	2636
788	9811	2623
789	9820	2610
790	9832	2597
791	9840	2584
792	9851	2571
793	9864	2559
794	9872	2545
795	9882	2532
796	9893	2520
797	9902	2506
798	9914	2494
799	9924	2481
800	9936	2468
801	9948	2455
802	9958	2443
803	9968	2430
804	9980	2417
805	9993	2405
806	10002	2392
807	10014	2379
808	10029	2367
809	10045	2356
810	10061	2344
811	10074	2332
812	10084	2319
813	10096	2307
814	10110	2295
815	10125	2283
816	10135	2270
817	10145	2257
818	10158	2245
819	10168	2232
820	10180	2219
821	10195	2207
822	10208	2195
823	10224	2183
824	10237	2171
825	10247	2158
826	10260	2146
827	10271	2133
828	10281	2120
829	10293	2108
830	10305	2095
831	10313	2082
832	10326	2070
833	10338	2057
834	10353	2045
835	10361	2032
836	10373	2020
837	10385	2007
838	10393	1994
839	10404	1981
840	10413	1968
841	10424	1956
842	10436	1943
843	10447	1931
844	10457	1918
845	10468	1905
846	10477	1892
847	10491	1880
848	10504	1868
849	10517	1856
850	10525	1842
851	10537	1830
852	10549	1817
853	10557	1804
854	10569	1792
855	10580	1779
856	10589	1767
857	10601	1754
858	10613	1742
859	10623	1729
860	10635	1717
861	10648	1704
